City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
3,3,Caiaponia,BR,-16.9567,-51.8103,80.58,62,93,1.39,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
5,5,Ratnagiri,IN,16.9833,73.3,79.81,73,50,4.41,Hotel Landmark
7,7,San Cristobal,VE,7.7669,-72.225,77.18,64,85,3.27,Posada Villaven C.A.
9,9,Makakilo City,US,21.3469,-158.0858,75.29,72,1,3.44,Marriott's Ko Olina Beach Club
19,19,Gigmoto,PH,13.7796,124.39,80.58,78,55,11.03,Cj's Travellers Inn
20,20,Mitu,CO,1.1983,-70.1733,79.92,94,97,2.51,
29,29,Kasama,ZM,-10.2129,31.1808,78.51,40,40,6.11,Kalebalika Cottages
30,30,Arlit,NE,18.7369,7.3853,89.01,14,25,13.6,Case de Passage De la Prefecture
32,32,North Myrtle Beach,US,33.816,-78.68,75.09,61,1,1.01,Avista Resort
35,35,Georgetown,MY,5.4112,100.3354,79.9,89,20,2.3,Cititel Penang
36,36,Cabo San Lucas,MX,22.8909,-109.9124,87.62,63,4,1.99,Hotel Tesoro Los Cabos
37,37,Labuhan,ID,-6.8844,112.2051,80.6,79,79,1.68,PT PPI Lamongan Tambak C
39,39,Salalah,OM,17.0151,54.0924,78.89,47,0,3.44,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
41,41,Daliao,PH,5.8611,124.9533,79.29,77,83,5.3,Joel L. Pagaran
42,42,Kununurra,AU,-15.7667,128.7333,76.98,83,30,5.75,Hotel Kununurra
51,51,Otanche,CO,5.6567,-74.1825,76.55,67,91,3.31,Bello Horizonte
58,58,Itarantim,BR,-15.6597,-40.0656,83.91,51,94,7.83,Pousada Buterfly
59,59,Butaritari,KI,3.0707,172.7902,80.8,78,41,9.53,Isles Sunset Lodge
61,61,Puerto Ayora,EC,-0.7393,-90.3518,75.16,79,82,9.46,Finch Bay Galapagos Hotel
62,62,Auki,SB,-8.7676,160.7034,76.35,88,66,3.4,Auki Motel
65,65,Nueva Granada,CO,9.8017,-74.393,85.57,66,75,5.06,HOTEL BELLA VISTA NUEVA GRANADA
81,81,Natal,BR,-5.795,-35.2094,84.85,70,40,18.41,Villa Park Hotel | Natal
83,83,Kavieng,PG,-2.5744,150.7967,82.71,78,98,16.71,Nusa Island Retreat
84,84,Adre,TD,13.4667,22.2,86.09,18,36,7.7,
85,85,Iracoubo,GF,5.4802,-53.2011,83.16,71,100,8.28,Le Gîte d’Iracoubo
87,87,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,20,3.44,Gaya Centre Hotel
96,96,Caravelas,BR,-17.7125,-39.2481,80.71,65,67,9.98,Pousada dos Navegantes
99,99,Ambulu,ID,-8.345,113.6058,76.28,92,100,2.13,Hotel Ambulu Jember
100,100,Bowen,AU,-20.0167,148.2333,78.4,81,68,16.08,Castle Motor Lodge Motel
102,102,San Policarpo,PH,12.1791,125.5072,80.04,81,81,10.67,Agapita M. Nicart
103,103,Wawa,NG,9.9022,4.4192,81.5,42,56,1.25,
105,105,Lorengau,PG,-2.0226,147.2712,80.92,79,99,10.31,Lorengau Harbourside Hotel
110,110,Bengkulu,ID,-3.8004,102.2655,76.95,88,100,3.33,Grage Hotel Bengkulu
116,116,Atuona,PF,-9.8,-139.0333,79.45,75,78,18.03,Villa Enata
118,118,Hilo,US,19.7297,-155.09,78.24,73,1,5.75,Hilo Hawaiian Hotel
120,120,Fare,PF,-16.7,-151.0167,78.21,74,86,14.97,Maitai Lapita Village Huahine
128,128,Vila Velha,BR,-20.3297,-40.2925,76.95,78,90,12.66,Quality Suites Vila Velha
129,129,Norsup,VU,-16.0667,167.3833,77.18,79,20,6.87,Nabelchel Bungalows
130,130,Praia,CV,14.9215,-23.5087,75.74,94,90,12.66,LT Aparthotel
131,131,Beira,MZ,-19.8436,34.8389,75.29,73,20,9.22,Beira Terrace Hotel
135,135,Kapaa,US,22.0752,-159.319,75.18,92,1,5.75,Sheraton Kauai Coconut Beach Resort
137,137,Yanam,IN,16.7333,82.2167,77.9,87,51,4.88,The Regency Hotel
144,144,Bandarbeyla,SO,9.4942,50.8122,79.54,77,27,13.33,JABIR HOTEL
145,145,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,13.8,Atlantis Hotel
151,151,Namatanai,PG,-3.6667,152.4333,78.98,83,98,7.58,Seagulls Inn Namatani
153,153,Pizarro,CO,4.9533,-77.366,79.3,82,100,7.7,Hotel Limonar
160,160,Cabedelo,BR,-6.9811,-34.8339,84.87,64,19,13.96,Hotel Pigalle
165,165,Biak,ID,-0.9131,122.8766,76.06,79,89,0.92,Penginapan Kim
166,166,Samarai,PG,-10.6167,150.6667,82.22,79,97,15.03,Nuli Sapi
177,177,Pochutla,MX,15.7432,-96.4661,85.82,57,57,5.37,Hotel Posada San Jose
178,178,Sri Aman,MY,1.2376,111.4621,77.05,99,100,0.0,Seri Simanggang Hotel
179,179,Hithadhoo,MV,-0.6,73.0833,82.49,76,100,17.74,Scoop Guest House
184,184,Vanimo,PG,-2.6741,141.3028,77.41,87,100,0.76,Vahmoneh Lodge Vanimo
186,186,Fort Abbas,PK,29.1925,72.8536,78.33,16,0,8.68,AsAd's House
187,187,Ponta Do Sol,PT,32.6667,-17.1,75.7,80,42,6.73,Hotel do Campo
192,192,Kismayo,SO,-0.3582,42.5454,79.14,84,26,14.18,Agan-Hotel
195,195,San Patricio,US,28.017,-97.5169,88.21,36,0,11.7,"Motel 6 Sinton, TX"
198,198,Kanniyakumari,IN,8.0833,77.5667,79.95,80,100,4.47,Sparsa
199,199,Tevaitoa,PF,-16.7833,-151.5,78.44,69,73,15.14,Hôtel Raiatea Lodge
200,200,Jamame,SO,0.0722,42.7506,78.17,84,45,10.8,
207,207,Adrar,MR,20.5022,-10.0711,89.42,13,64,7.49,
