City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,71.2906,-156.7887,28.42,86,90,20.71
1,Usinsk,RU,65.9939,57.5281,10.54,83,97,11.74
2,Souillac,MU,-20.5167,57.5167,73.78,78,75,3.44
3,Caiaponia,BR,-16.9567,-51.8103,80.58,62,93,1.39
4,Mataura,NZ,-46.1927,168.8643,38.84,88,87,2.3
5,Ratnagiri,IN,16.9833,73.3,79.81,73,50,4.41
6,Broome,US,42.2506,-75.833,56.84,80,90,7.0
7,San Cristobal,VE,7.7669,-72.225,77.18,64,85,3.27
8,Vaini,TO,-21.2,-175.2,73.56,94,20,6.91
9,Makakilo City,US,21.3469,-158.0858,75.29,72,1,3.44
10,Saint-Francois,FR,46.4154,3.9054,65.64,59,0,16.11
11,Cidreira,BR,-30.1811,-50.2056,71.51,79,20,20.87
12,Upernavik,GL,72.7868,-56.1549,33.19,99,100,16.91
13,Bratsk,RU,56.1325,101.6142,32.49,86,96,8.3
14,Aklavik,CA,68.2191,-135.0107,34.52,93,75,2.3
15,Saskylakh,RU,71.9167,114.0833,10.65,97,100,4.97
16,Lata,PT,40.1629,-8.3327,67.93,97,100,7.58
17,Sorland,NO,67.667,12.6934,50.07,83,100,18.9
18,Vila,PT,42.0304,-8.1588,50.88,93,99,4.12
19,Gigmoto,PH,13.7796,124.39,80.58,78,55,11.03
20,Mitu,CO,1.1983,-70.1733,79.92,94,97,2.51
21,Bonavista,CA,48.6499,-53.1147,59.0,76,20,12.37
22,Moerai,PF,-22.4333,-151.3333,73.62,67,82,18.75
23,Ushuaia,AR,-54.8,-68.3,61.56,27,100,3.09
24,Severo-Kurilsk,RU,50.6789,156.125,34.93,65,99,25.64
25,Bredasdorp,ZA,-34.5322,20.0403,60.28,81,89,5.57
26,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,3.44
27,Nikolskoye,RU,59.7035,30.7861,47.88,84,56,8.41
28,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,9.22
29,Kasama,ZM,-10.2129,31.1808,78.51,40,40,6.11
30,Arlit,NE,18.7369,7.3853,89.01,14,25,13.6
31,Lagoa,PT,39.05,-27.9833,69.84,85,100,10.56
32,North Myrtle Beach,US,33.816,-78.68,75.09,61,1,1.01
33,Cherskiy,RU,68.75,161.3,-0.6,98,100,4.94
34,Tasiilaq,GL,65.6145,-37.6368,24.96,66,100,4.07
35,Georgetown,MY,5.4112,100.3354,79.9,89,20,2.3
36,Cabo San Lucas,MX,22.8909,-109.9124,87.62,63,4,1.99
37,Labuhan,ID,-6.8844,112.2051,80.6,79,79,1.68
38,Anchorage,US,61.2181,-149.9003,45.19,77,40,1.99
